Index,Make and Model,Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","Quartermile, sec","Quartermile, mph",Braking 60–0 mph (feet),Power to Weight,PWRatio,Rating Category,,Color
17,ATK GT250R,4-Nov,4295,V-2,5,23.02,14.12,414,41.3,90.7,9.72,n/.a,16.78,75.09,128.3,17.98,0.06,Lightweight Sportbike,,#A6D854
364,B-King,3-Aug,12889,I-4,6,163.9,97.2,578,33.8,158,2.86,5.51,9.99,138.42,119.6,3.53,0.28,Open Standard,,#FFFFCC
359,Bandit 1200S,11/00,7399,I-4,5,101.7,73.8,542,37,151,3.07,6.97,10.75,125.59,114.2,5.33,0.19,Open Standard,,#BEBADA
360,Bandit 1250S,8-Jul,8299,I-4,6,99.2,77.1,560,39.3,152,3.36,8.4,11.34,115.92,116.5,5.65,0.18,Open Standard,,#CCCCCC
326,Bandit GS600S,3/00,5799,I-4,6,68.6,36.5,505,32.3,127,3.97,10.72,12.16,108.93,114.1,7.36,0.14,Middleweight Standard,,#FF7F00
19,Benelli Tre K,5-Aug,14799,I-3,6,99.9,70.8,534,30.6,144,3.12,7.39,10.95,121.57,118.5,5.35,0.19,Open Adventure-Tourer,,#BC80BD
20,Beta 450RS,9-Nov,8799,1,6,38.42,26.05,283,50.3,110.9,5.25,n/.a,13.93,89.93,134.74,7.36,0.14,Middleweight Dual-Sport,,#FC8D62
21,BMW C600,Feb-13,9590,I-2,CVT,46.02,39.08,556,43.6,114.6,6.4,n/.a,14.87,85.54,126.48,12.08,0.08,Maxi-Scooter,,#FB8072
443,Bolt,Sep-13,7990,V-2,5,48.18,53.74,511.5,48.7,95.6,6.02,n/.a,14.22,91.83,132.4,10.61,0.09,Middleweight Cruiser,,#FFFF33
380,Bonneville ’01,4-Jan,6999,I-2,5,53.9,40.8,500,41.1,114,5.2,17,13.52,96.97,115,9.28,0.11,Middleweight Standard,,#984EA3
381,Bonneville ’09,11-Sep,7699,I-2,5,56.31,43.48,492,48.4,120.1,5.21,15.62,13.52,97.83,117.1,8.73,0.11,Middleweight Standard,,#E31A1C
369,Boulevard C109RT,11-Aug,14999,V-2,5,97.7,97.1,878,31.9,126,4.33,n/.a,12.67,101.8,127.7,8.98,0.11,Heavyweight Cruiser,,#377EB8
366,Boulevard C90T,Feb-13,13999,V-2,5,68.5,84.1,801,34.1,113.5,4.89,n/.a,13.46,96.12,135.6,11.7,0.09,Heavyweight Cruiser,,#BEAED4
368,Boulevard M109R,6-Jun,12399,V-2,5,104.8,97.2,761,40.7,128,3.65,8.87,11.62,114.91,135.4,7.26,0.14,Heavyweight Cruiser,,#E7298A
352,Boulevard M50,6-May,6749,V-2,5,41.9,42.1,575,48,107,5.39,n/.a,13.99,88.88,118.3,13.72,0.07,Middleweight Cruiser,,#FFFF99
367,Boulevard M90,2-Sep,9999,V-2,5,69.37,82.68,725.5,33.9,118,4.73,n/.a,13.11,96.51,131.25,10.37,0.1,Heavyweight Cruiser,,#E6AB02
299,Breva 1100,8-Jun,12490,V-2,6,69.7,54.1,562,45.4,129,5.14,12.33,13.1,106.2,127.7,8.06,0.12,Open Standard,,#80B1D3
306,Breva 1200 Sport,6-Aug,13590,V-2,6,72.2,61.9,555,43.3,131,3.87,10.74,12.11,108.11,119.4,7.62,0.13,Open Sportbike,,#BF5B17
317,Brutale 1090RR,7-Oct,18000,I-4,6,121.08,71.85,470.5,30.3,153.5,2.99,6.29,10.5,130.98,115.1,3.89,0.26,Open Naked,,#66C2A5
315,Brutale 800 EAS,Feb-14,12498,I-3,6,115.35,55.11,410,34.4,141.75,3.75,7.17,11.1,127.11,125.5,3.55,0.28,Middleweight Naked,,#B15928
316,Brutale 910,1-Jul,14995,I-4,6,115.5,62.2,463.5,32,156,3.24,6.63,10.67,129.47,123.6,4.01,0.25,Open Naked,,#F2F2F2
73,Buell Blast,4/00,4395,1,5,27.3,25.3,389,55.4,94,7.19,n/.a,15.24,85,115.6,14.25,0.07,Lightweight Standard,,#F1E2CC
332,Burgman 650,5-Apr,7699,I-2,CVT,37.4,58.6,607,46.4,101,7,n/.a,15.19,84.9,120.8,16.23,0.06,Maxi-Scooter,,#1B9E77
